cell_id,manufacturer,chemistry,capacity_mah,voltage_nominal,batch_number,received_date,notes,
CELL-201,  Panasonic  ,NMC,3000,3.6,BATCH-2026-A,10-01-2026,Leading/trailing spaces in manufacturer - should be trimmed,
CELL-202,CATL,nmc,3200,3.2,BATCH-2026-A,10-01-2026,Lowercase chemistry - should normalize or fail depending on implementation,
CELL-203,CATL,LFP,3200.5,3.2,BATCH-2026-A,10-01-2026,Decimal capacity - valid or invalid? candidate must decide,
CELL-204,CATL,LFP,3200,3.2,BATCH-2026-A,10-01-2026,DD-MM-YYYY format instead of YYYY-MM-DD - how does candidate handle this?,
CELL-205,CATL,LFP,3200,3.2,BATCH-2026-A,01-10-2026,Ambiguous US date format - MM/DD/YYYY,
CELL-206,Samsung SDI,NCA,4000,3.7,BATCH-2026-B,15-01-2026,"Cell from ""special"" shipment, urgent",Extra comma inside quoted field - tests CSV parser robustness
CELL-207,LG Energy,NMC,2800,3.65,BATCH-2026-B,15-01-2026,,
CELL-207,LG Energy,NMC,2800,3.65,BATCH-2026-B,15-01-2026,Duplicate cell_id within the same file (not in DB yet) - should catch both rows,
CELL-209,BYD,LFP,3500,3.2,,20-01-2026,Missing batch number - valid or required? candidate must decide,
CELL-210,BYD,LFP,999999,3.2,BATCH-2026-C,20-01-2026,Unrealistically large capacity - warn or accept?,
CELL-211,BYD,LFP,3500,3.2,BATCH-2026-C,31-12-2099,Far future date - technically valid format but suspicious,
CELL-212,,,,,,, All fields empty except cell_id - should fail,
CELL-213,A,B,1,1,C,25-01-2026,All fields present but suspiciously short values - valid technically,
CELL-1010,dee,nmc,3500,2,batch-2026,01-10-2025,checkkk,
